url,headline,img_path
/en/news-in-english/19/2604458/klaipeda-theatre-interior-named-finalist-at-world-architecture-festival,Klaipėda theatre interior named finalist at World Architecture Festival,/img/2025/07/07/2122539-671827-150x84.jpg
/en/news-in-english/19/2604424/national-security-is-lithuania-s-top-foreign-policy-priority-mfa-tells-ambassadors,"National security is Lithuania’s top foreign policy priority, MFA tells ambassadors",/img/2025/07/01/2116180-338707-150x84.jpg
/en/news-in-english/19/2604388/lithuania-s-nemunas-dawn-party-backer-linked-to-russian-billionaires-media,Lithuania’s Nemunas Dawn party backer linked to Russian billionaires – media,/img/2025/06/01/2087992-51135-150x84.jpg
/en/news-in-english/19/2604347/i-m-really-grateful-to-lithuanian-community-us-soldier-s-wife-accepts-posthumous-award,‘I’m really grateful to Lithuanian community’: US soldier’s wife accepts posthumous award,/img/2025/07/06/2120261-414454-150x84.jpg
/en/news-in-english/19/2604236/german-president-lithuania-s-security-is-germany-s-security,German President: Lithuania’s security is Germany’s security,/img/2025/07/06/2120938-983032-150x84.jpg
/en/news-in-english/19/2604241/poland-temporarily-reinstates-border-checks-with-lithuania,Poland temporarily reinstates border checks with Lithuania,/img/2025/07/07/2121732-678467-150x84.jpg
/en/news-in-english/19/2604217/poland-s-border-checks-represent-capitulation-to-the-problem-lithuania-s-nauseda,Poland’s border checks represent ‘capitulation to the problem’ – Lithuania’s Nausėda,/img/2025/07/06/2121126-872344-150x84.jpg
/en/news-in-english/19/2603356/is-washington-probing-lithuania-s-will-to-ease-minsk-sanctions,Is Washington probing Lithuania’s will to ease Minsk sanctions?,/img/2025/07/02/2117268-61219-150x84.jpg
/en/news-in-english/19/2601104/hidden-stories-of-lithuania-s-partisan-children-uncovering-the-untold-legacy,Hidden stories of Lithuania’s partisan children: uncovering the untold legacy,/img/2025/06/18/2105698-40145-150x84.jpg
/en/news-in-english/19/2598201/from-france-to-lithuania-parents-push-for-limiting-kids-access-to-social-media,"From France to Lithuania, parents push for limiting kids’ access to social media",/img/2020/08/14/703796-130363-150x84.jpg
/en/news-in-english/19/2601421/restored-cars-from-siauliai-find-fame-among-hollywood-stars-and-royalty,Restored cars from Šiauliai find fame among Hollywood stars and royalty,/img/2025/06/16/2100143-982776-150x84.jpg
/en/news-in-english/19/2601544/time-becomes-an-actor-in-the-story-interview-with-documentary-photographer-patrick-wack,‘Time becomes an actor in the story’: interview with documentary photographer Patrick Wack,/img/2025/07/03/2118249-505359-150x84.jpg
/en/news-in-english/19/2603339/lithuanian-cinema-at-karlovy-vary-festival-from-world-premieres-to-new-projects,Lithuanian cinema at Karlovy Vary Festival: from world premieres to new projects,/img/2025/07/04/2119099-35835-150x84.jpg
/en/news-in-english/19/2603310/lithuania-to-cooperate-with-small-nuclear-reactor-developer-newcleo,Lithuania to cooperate with small nuclear reactor developer Newcleo,/img/2022/10/25/1371144-439598-150x84.jpg
